transaction_id,account_id,member_id,transaction_timestamp,transaction_type,amount,currency_code,description,channel,country_code,last_modified_ts
TXN00000038,ACCT005073,MEM003112,2026-01-22T06:16:00.933117+00:00,WIRE,16547.12,USD,WIRE transaction,ATM,US,2026-01-22T06:19:00.933117+00:00
TXN00000039,ACCT024510,MEM005139,2026-01-21T02:59:23.933126+00:00,DEBIT,18393.69,USD,DEBIT transaction,ONLINE,US,2026-01-21T03:36:23.933126+00:00
TXN00000040,ACCT005159,MEM000932,2026-01-26T02:17:06.933135+00:00,ACH,12571.76,USD,ACH transaction,ONLINE,US,2026-01-26T02:21:06.933135+00:00
TXN00000041,ACCT013231,MEM001965,2026-01-20T08:31:03.933143+00:00,CREDIT,1699.95,USD,CREDIT transaction,BRANCH,MX,2026-01-20T09:09:03.933143+00:00
TXN00000042,ACCT021541,MEM009563,2026-02-16T07:28:53.933152+00:00,WIRE,15484.92,USD,WIRE transaction,ATM,US,2026-02-16T07:41:53.933152+00:00
TXN00000043,ACCT004289,MEM011005,2026-02-02T23:43:59.933160+00:00,WIRE,5967.91,USD,WIRE transaction,ATM,CA,2026-02-03T00:03:59.933160+00:00
TXN00000044,ACCT018449,MEM001639,2026-02-14T17:15:54.933168+00:00,ACH,233.88,USD,ACH transaction,ONLINE,MX,2026-02-14T17:28:54.933168+00:00
TXN00000045,ACCT028865,MEM001128,2026-01-24T16:23:07.933177+00:00,ATM,6630.75,USD,ATM transaction,BRANCH,US,2026-01-24T16:41:07.933177+00:00
TXN00000046,ACCT023054,MEM004957,2026-02-10T13:59:43.933186+00:00,ACH,10955.18,USD,ACH transaction,ONLINE,MX,2026-02-10T14:18:43.933186+00:00
TXN00000047,ACCT008667,MEM001892,2026-02-13T05:05:48.933195+00:00,CREDIT,23473.31,USD,CREDIT transaction,ONLINE,MX,2026-02-13T05:14:48.933195+00:00
TXN00000048,ACCT023515,MEM005618,2026-02-05T00:28:30.933203+00:00,CREDIT,7044.63,USD,CREDIT transaction,BRANCH,US,2026-02-05T01:00:30.933203+00:00
TXN00000049,ACCT003025,MEM010393,2026-01-25T12:36:10.933212+00:00,DEBIT,6278.78,USD,DEBIT transaction,MOBILE,US,2026-01-25T12:38:10.933212+00:00
TXN00000050,ACCT020877,MEM004292,2026-02-18T01:39:10.933221+00:00,CREDIT,8339.58,USD,CREDIT transaction,BRANCH,CA,2026-02-18T02:14:10.933221+00:00
TXN00000051,ACCT002466,MEM014469,2026-01-28T11:29:33.933229+00:00,DEBIT,14023.11,USD,DEBIT transaction,BRANCH,MX,2026-01-28T11:31:33.933229+00:00
TXN00000052,ACCT014084,MEM002089,2026-01-31T07:36:57.933238+00:00,CREDIT,14563.16,USD,CREDIT transaction,ONLINE,US,2026-01-31T07:59:57.933238+00:00
TXN00000053,ACCT022350,MEM004089,2026-02-16T07:18:10.933247+00:00,CREDIT,22473.22,USD,CREDIT transaction,ONLINE,US,2026-02-16T08:07:10.933247+00:00
TXN00000054,ACCT020338,MEM012280,2026-01-22T01:28:20.933256+00:00,WIRE,22103.48,USD,WIRE transaction,BRANCH,US,2026-01-22T02:23:20.933256+00:00
TXN00000055,ACCT028883,MEM006756,2026-02-10T08:27:20.933265+00:00,CREDIT,24405.17,USD,CREDIT transaction,ONLINE,US,2026-02-10T09:14:20.933265+00:00
TXN00000056,ACCT026288,MEM010976,2026-02-02T02:45:35.933274+00:00,WIRE,19559.88,USD,WIRE transaction,BRANCH,US,2026-02-02T02:55:35.933274+00:00
TXN00000057,ACCT028135,MEM007712,2026-02-12T23:50:36.933369+00:00,DEBIT,9564.16,USD,DEBIT transaction,BRANCH,US,2026-02-13T00:42:36.933369+00:00
TXN00000058,ACCT007305,MEM000388,2026-01-26T21:29:30.933381+00:00,CREDIT,8742.11,USD,CREDIT transaction,BRANCH,CA,2026-01-26T21:50:30.933381+00:00
TXN00000059,ACCT011507,MEM010511,2026-02-04T17:11:16.933390+00:00,ATM,21608.96,USD,ATM transaction,MOBILE,MX,2026-02-04T17:32:16.933390+00:00
TXN00000060,ACCT005852,MEM009513,2026-02-16T21:37:36.933399+00:00,ATM,2884.43,USD,ATM transaction,ATM,US,2026-02-16T21:43:36.933399+00:00
TXN00000061,ACCT025770,MEM005140,2026-01-20T06:43:40.933407+00:00,CASH_DEPOSIT,10864.66,USD,CASH_DEPOSIT transaction,MOBILE,MX,2026-01-20T07:15:40.933407+00:00
TXN00000062,ACCT006229,MEM004174,2026-02-12T15:02:48.933416+00:00,ACH,9630.5,USD,ACH transaction,ONLINE,CA,2026-02-12T15:02:48.933416+00:00
TXN00000063,ACCT022507,MEM011788,2026-01-24T00:01:58.933427+00:00,ACH,23139.45,USD,ACH transaction,BRANCH,US,2026-01-24T00:28:58.933427+00:00
TXN00000064,ACCT020420,MEM005144,2026-02-14T20:15:30.933439+00:00,ATM,23721.91,USD,ATM transaction,ONLINE,US,2026-02-14T20:47:30.933439+00:00
TXN00000065,ACCT013186,MEM011424,2026-02-03T05:26:28.933447+00:00,ATM,16672.66,USD,ATM transaction,ATM,MX,2026-02-03T05:34:28.933447+00:00
TXN00000066,ACCT022195,MEM012258,2026-02-08T22:16:26.933456+00:00,WIRE,10511.74,USD,WIRE transaction,BRANCH,MX,2026-02-08T22:52:26.933456+00:00
TXN00000067,ACCT009958,MEM004701,2026-02-03T15:09:06.933465+00:00,DEBIT,10152.47,USD,DEBIT transaction,BRANCH,CA,2026-02-03T15:59:06.933465+00:00
TXN00000068,ACCT015237,MEM007239,2026-01-21T02:03:09.933473+00:00,ATM,15166.93,USD,ATM transaction,MOBILE,US,2026-01-21T02:35:09.933473+00:00
TXN00000069,ACCT005561,MEM010795,2026-01-26T06:28:55.933482+00:00,CASH_DEPOSIT,19843.59,USD,CASH_DEPOSIT transaction,ONLINE,US,2026-01-26T07:00:55.933482+00:00
TXN00000070,ACCT022047,MEM005086,2026-02-01T23:15:40.933491+00:00,CREDIT,2335.59,USD,CREDIT transaction,BRANCH,US,2026-02-01T23:24:40.933491+00:00
TXN00000071,ACCT020031,MEM013923,2026-02-17T01:19:34.933500+00:00,WIRE,1156.3,USD,WIRE transaction,ONLINE,CA,2026-02-17T01:45:34.933500+00:00
TXN00000072,ACCT012583,MEM008100,2026-01-21T07:04:43.933509+00:00,CASH_DEPOSIT,4861.69,USD,CASH_DEPOSIT transaction,MOBILE,US,2026-01-21T07:13:43.933509+00:00
TXN00000073,ACCT025508,MEM006966,2026-02-17T23:19:25.933518+00:00,DEBIT,22316.6,USD,DEBIT transaction,BRANCH,US,2026-02-18T00:10:25.933518+00:00
TXN00000074,ACCT008166,MEM013900,2026-01-24T02:19:09.933527+00:00,ACH,11614.28,USD,ACH transaction,ONLINE,CA,2026-01-24T02:27:09.933527+00:00
TXN00000075,ACCT019512,MEM005199,2026-01-26T16:26:07.933535+00:00,ACH,16689.78,USD,ACH transaction,MOBILE,MX,2026-01-26T17:18:07.933535+00:00
TXN00000076,ACCT014612,MEM014700,2026-01-24T17:40:28.933545+00:00,ACH,10669.09,USD,ACH transaction,BRANCH,CA,2026-01-24T18:08:28.933545+00:00
TXN00000077,ACCT009087,MEM012548,2026-02-05T15:48:13.933553+00:00,CASH_DEPOSIT,18794.67,USD,CASH_DEPOSIT transaction,MOBILE,US,2026-02-05T16:05:13.933553+00:00
TXN00000078,ACCT007684,MEM004452,2026-01-27T21:17:42.933563+00:00,ATM,1938.01,USD,ATM transaction,ATM,US,2026-01-27T22:14:42.933563+00:00
TXN00000079,ACCT007578,MEM006276,2026-01-23T00:27:39.933571+00:00,CREDIT,2015.36,USD,CREDIT transaction,BRANCH,US,2026-01-23T00:31:39.933571+00:00
TXN00000080,ACCT015268,MEM006813,2026-01-29T02:25:39.933580+00:00,ACH,10190.58,USD,ACH transaction,ONLINE,US,2026-01-29T03:18:39.933580+00:00
TXN00000081,ACCT022791,MEM000321,2026-01-28T20:16:52.933588+00:00,ACH,9737.53,USD,ACH transaction,MOBILE,CA,2026-01-28T20:16:52.933588+00:00
TXN00000082,ACCT027966,MEM014609,2026-02-01T03:57:18.933597+00:00,WIRE,7466.02,USD,WIRE transaction,MOBILE,MX,2026-02-01T04:44:18.933597+00:00
TXN00000083,ACCT015999,MEM003596,2026-01-22T17:29:37.933606+00:00,CREDIT,19996.9,USD,CREDIT transaction,ATM,CA,2026-01-22T18:00:37.933606+00:00
TXN00000084,ACCT022255,MEM013077,2026-02-16T19:58:03.933614+00:00,CASH_DEPOSIT,9722.04,USD,CASH_DEPOSIT transaction,MOBILE,US,2026-02-16T20:51:03.933614+00:00
TXN00000085,ACCT017503,MEM000442,2026-01-26T13:14:05.933623+00:00,ACH,22988.62,USD,ACH transaction,MOBILE,MX,2026-01-26T13:50:05.933623+00:00
TXN00000086,ACCT004447,MEM014203,2026-02-16T22:12:27.933632+00:00,WIRE,2099.6,USD,WIRE transaction,MOBILE,US,2026-02-16T22:15:27.933632+00:00
TXN00000087,ACCT014900,MEM005356,2026-02-05T14:40:47.933640+00:00,CREDIT,9478.22,USD,CREDIT transaction,ATM,CA,2026-02-05T14:57:47.933640+00:00
TXN00000088,ACCT015412,MEM000318,2026-01-28T18:37:30.933649+00:00,DEBIT,6307.54,USD,DEBIT transaction,ONLINE,US,2026-01-28T18:51:30.933649+00:00
TXN00000089,ACCT001320,MEM012358,2026-02-14T21:50:15.933657+00:00,CASH_DEPOSIT,19531.05,USD,CASH_DEPOSIT transaction,ONLINE,US,2026-02-14T22:02:15.933657+00:00
TXN00000090,ACCT004137,MEM007759,2026-02-17T06:02:22.933666+00:00,CREDIT,15533.77,USD,CREDIT transaction,ONLINE,MX,2026-02-17T07:02:22.933666+00:00
TXN00000091,ACCT025130,MEM006044,2026-02-07T15:50:12.933675+00:00,ATM,11626.38,USD,ATM transaction,BRANCH,MX,2026-02-07T16:28:12.933675+00:00
TXN00000092,ACCT010193,MEM001772,2026-02-12T16:20:36.933684+00:00,CREDIT,19445.02,USD,CREDIT transaction,ONLINE,US,2026-02-12T16:56:36.933684+00:00
TXN00000093,ACCT006499,MEM001246,2026-01-31T00:31:10.933693+00:00,CASH_DEPOSIT,9916.96,USD,CASH_DEPOSIT transaction,BRANCH,US,2026-01-31T01:15:10.933693+00:00
TXN00000094,ACCT026396,MEM001984,2026-02-03T14:24:52.933702+00:00,ACH,21257.48,USD,ACH transaction,ONLINE,US,2026-02-03T14:58:52.933702+00:00
TXN00000095,ACCT016580,MEM010610,2026-01-28T10:41:14.933710+00:00,DEBIT,16538.37,USD,DEBIT transaction,ATM,US,2026-01-28T11:35:14.933710+00:00
TXN00000096,ACCT014206,MEM005935,2026-01-28T20:22:47.933719+00:00,DEBIT,20558.45,USD,DEBIT transaction,MOBILE,US,2026-01-28T20:49:47.933719+00:00
TXN00000097,ACCT008851,MEM010092,2026-02-09T16:34:10.933728+00:00,CASH_DEPOSIT,18345.15,USD,CASH_DEPOSIT transaction,MOBILE,CA,2026-02-09T17:01:10.933728+00:00
TXN00000098,ACCT027222,MEM001420,2026-01-20T11:30:03.933737+00:00,CREDIT,6710.62,USD,CREDIT transaction,ATM,CA,2026-01-20T11:45:03.933737+00:00
TXN00000099,ACCT012419,MEM005512,2026-01-26T16:21:33.933746+00:00,CASH_DEPOSIT,14246.67,USD,CASH_DEPOSIT transaction,ONLINE,CA,2026-01-26T17:15:33.933746+00:00
TXN00000100,ACCT011627,MEM013072,2026-02-02T11:06:53.933755+00:00,CREDIT,4546.81,USD,CREDIT transaction,ATM,US,2026-02-02T11:23:53.933755+00:00
TXN00000101,ACCT018213,MEM000167,2026-01-20T07:12:46.933764+00:00,ATM,17529.89,USD,ATM transaction,BRANCH,US,2026-01-20T07:27:46.933764+00:00
TXN00000102,ACCT022630,MEM007801,2026-01-29T12:15:38.933773+00:00,CREDIT,12214.96,USD,CREDIT transaction,MOBILE,CA,2026-01-29T13:05:38.933773+00:00
TXN00000103,ACCT013252,MEM011335,2026-02-17T09:41:38.933782+00:00,CREDIT,2327.24,USD,CREDIT transaction,BRANCH,US,2026-02-17T10:23:38.933782+00:00
TXN00000104,ACCT017398,MEM005633,2026-01-21T00:13:21.933790+00:00,ACH,9226.14,USD,ACH transaction,MOBILE,MX,2026-01-21T00:34:21.933790+00:00
TXN00000105,ACCT010048,MEM004119,2026-02-01T03:53:41.933799+00:00,ATM,17571.67,USD,ATM transaction,BRANCH,US,2026-02-01T04:39:41.933799+00:00
TXN00000106,ACCT017560,MEM012488,2026-02-08T21:24:24.933807+00:00,CASH_DEPOSIT,7889.38,USD,CASH_DEPOSIT transaction,BRANCH,US,2026-02-08T21:37:24.933807+00:00
TXN00000107,ACCT024911,MEM008596,2026-01-25T17:39:05.933817+00:00,ACH,6913.21,USD,ACH transaction,ATM,US,2026-01-25T18:32:05.933817+00:00
TXN00000108,ACCT005880,MEM004953,2026-02-08T19:37:13.933827+00:00,ATM,7406.87,USD,ATM transaction,ONLINE,MX,2026-02-08T19:45:13.933827+00:00
TXN00000109,ACCT018133,MEM004787,2026-02-04T22:11:16.933836+00:00,DEBIT,1138.85,USD,DEBIT transaction,BRANCH,CA,2026-02-04T22:17:16.933836+00:00
TXN00000110,ACCT015687,MEM007217,2026-02-17T15:29:37.933845+00:00,WIRE,14352.03,USD,WIRE transaction,ATM,US,2026-02-17T15:32:37.933845+00:00
TXN00000111,ACCT003739,MEM013470,2026-02-05T23:37:30.933854+00:00,WIRE,23526.65,USD,WIRE transaction,ONLINE,CA,2026-02-06T00:08:30.933854+00:00
TXN00000112,ACCT001757,MEM002486,2026-02-14T15:28:18.933878+00:00,CASH_DEPOSIT,14425.95,USD,CASH_DEPOSIT transaction,BRANCH,MX,2026-02-14T16:28:18.933878+00:00
TXN00000113,ACCT003882,MEM009144,2026-02-03T11:47:23.933889+00:00,CREDIT,2130.44,USD,CREDIT transaction,MOBILE,MX,2026-02-03T12:25:23.933889+00:00
TXN00000114,ACCT014763,MEM014885,2026-02-07T06:50:21.933897+00:00,WIRE,19392.56,USD,WIRE transaction,MOBILE,US,2026-02-07T07:45:21.933897+00:00
TXN00000115,ACCT018633,MEM010175,2026-01-20T16:06:08.933906+00:00,ATM,24750.79,USD,ATM transaction,ONLINE,MX,2026-01-20T16:53:08.933906+00:00
TXN00000116,ACCT020497,MEM003458,2026-02-13T10:10:06.933915+00:00,CREDIT,23689.81,USD,CREDIT transaction,ATM,US,2026-02-13T10:20:06.933915+00:00
TXN00000117,ACCT005130,MEM000044,2026-02-06T14:19:14.933924+00:00,DEBIT,4346.16,USD,DEBIT transaction,MOBILE,CA,2026-02-06T15:03:14.933924+00:00
TXN00000118,ACCT007586,MEM004721,2026-01-20T09:56:37.933932+00:00,DEBIT,11748.34,USD,DEBIT transaction,ATM,CA,2026-01-20T10:00:37.933932+00:00
TXN00000119,ACCT019327,MEM010833,2026-02-06T21:49:31.933941+00:00,CASH_DEPOSIT,23097.85,USD,CASH_DEPOSIT transaction,BRANCH,CA,2026-02-06T21:56:31.933941+00:00
TXN00000120,ACCT029767,MEM004353,2026-01-22T19:19:21.933950+00:00,CREDIT,5621.01,USD,CREDIT transaction,BRANCH,US,2026-01-22T19:22:21.933950+00:00
TXN00000121,ACCT024542,MEM013505,2026-02-10T04:28:11.933959+00:00,ACH,19815.92,USD,ACH transaction,ATM,CA,2026-02-10T04:35:11.933959+00:00
TXN00000122,ACCT013190,MEM004461,2026-01-26T11:42:40.933967+00:00,CASH_DEPOSIT,17217.26,USD,CASH_DEPOSIT transaction,MOBILE,CA,2026-01-26T11:47:40.933967+00:00
TXN00000123,ACCT024070,MEM005281,2026-01-20T05:01:14.933976+00:00,WIRE,997.48,USD,WIRE transaction,ATM,US,2026-01-20T05:06:14.933976+00:00
TXN00000124,ACCT019239,MEM000340,2026-02-07T03:04:03.933985+00:00,ACH,24047.82,USD,ACH transaction,ATM,MX,2026-02-07T03:06:03.933985+00:00
TXN00000125,ACCT014491,MEM004558,2026-02-09T17:40:18.933994+00:00,CASH_DEPOSIT,11763.05,USD,CASH_DEPOSIT transaction,BRANCH,MX,2026-02-09T18:07:18.933994+00:00
TXN00000126,ACCT011402,MEM006691,2026-01-25T08:52:54.934003+00:00,WIRE,24226.41,USD,WIRE transaction,ATM,US,2026-01-25T09:34:54.934003+00:00
TXN00000127,ACCT013489,MEM011366,2026-02-13T03:54:58.934011+00:00,ATM,21443.47,USD,ATM transaction,MOBILE,US,2026-02-13T04:36:58.934011+00:00
TXN00000128,ACCT001203,MEM007452,2026-01-29T19:13:23.934020+00:00,ACH,20339.34,USD,ACH transaction,ONLINE,US,2026-01-29T19:29:23.934020+00:00
TXN00000129,ACCT028342,MEM008432,2026-02-02T13:08:33.934029+00:00,WIRE,2898.92,USD,WIRE transaction,ONLINE,MX,2026-02-02T13:37:33.934029+00:00
TXN00000130,ACCT011855,MEM010202,2026-01-29T04:18:56.934037+00:00,ACH,1356.05,USD,ACH transaction,MOBILE,CA,2026-01-29T05:06:56.934037+00:00
TXN00000131,ACCT004294,MEM004720,2026-02-15T17:39:06.934046+00:00,ACH,5089.75,USD,ACH transaction,MOBILE,CA,2026-02-15T17:46:06.934046+00:00
TXN00000132,ACCT026192,MEM003921,2026-02-16T20:08:54.934055+00:00,ACH,24328.7,USD,ACH transaction,BRANCH,US,2026-02-16T20:43:54.934055+00:00
TXN00000133,ACCT007363,MEM013786,2026-02-17T13:51:07.934063+00:00,DEBIT,13806.73,USD,DEBIT transaction,ONLINE,CA,2026-02-17T14:51:07.934063+00:00
TXN00000134,ACCT016331,MEM011741,2026-02-12T12:55:33.934072+00:00,CREDIT,16193.09,USD,CREDIT transaction,ATM,MX,2026-02-12T13:40:33.934072+00:00
TXN00000135,ACCT015474,MEM003994,2026-02-04T23:13:14.934081+00:00,WIRE,10387.84,USD,WIRE transaction,MOBILE,MX,2026-02-04T23:22:14.934081+00:00
TXN00000136,ACCT016655,MEM012228,2026-01-30T14:52:25.934089+00:00,ACH,4766.07,USD,ACH transaction,BRANCH,US,2026-01-30T15:09:25.934089+00:00
TXN00000137,ACCT008755,MEM013444,2026-01-29T02:20:27.934098+00:00,ACH,8497.54,USD,ACH transaction,ONLINE,US,2026-01-29T03:06:27.934098+00:00
TXN00000138,ACCT021625,MEM008023,2026-02-03T17:56:28.934107+00:00,ACH,20937.06,USD,ACH transaction,BRANCH,CA,2026-02-03T18:30:28.934107+00:00
TXN00000139,ACCT024998,MEM008904,2026-01-25T17:29:06.934115+00:00,ACH,8628.75,USD,ACH transaction,MOBILE,CA,2026-01-25T18:28:06.934115+00:00
TXN00000140,ACCT007826,MEM009369,2026-02-02T14:53:09.934124+00:00,CASH_DEPOSIT,21740.17,USD,CASH_DEPOSIT transaction,MOBILE,US,2026-02-02T15:47:09.934124+00:00
TXN00000141,ACCT015499,MEM011555,2026-01-29T07:11:46.934133+00:00,CASH_DEPOSIT,1092.14,USD,CASH_DEPOSIT transaction,MOBILE,CA,2026-01-29T07:53:46.934133+00:00
TXN00000142,ACCT004137,MEM008230,2026-02-10T20:34:06.934142+00:00,DEBIT,12383.72,USD,DEBIT transaction,ATM,US,2026-02-10T21:29:06.934142+00:00
TXN00000143,ACCT000503,MEM011837,2026-01-27T20:47:23.934150+00:00,WIRE,2493.69,USD,WIRE transaction,BRANCH,CA,2026-01-27T21:42:23.934150+00:00
TXN00000144,ACCT011094,MEM010212,2026-02-10T17:56:24.934159+00:00,ATM,1871.63,USD,ATM transaction,MOBILE,US,2026-02-10T18:50:24.934159+00:00
TXN00000145,ACCT012453,MEM005189,2026-02-02T06:58:38.934168+00:00,ACH,21308.68,USD,ACH transaction,MOBILE,MX,2026-02-02T07:00:38.934168+00:00
TXN00000146,ACCT022427,MEM004709,2026-01-19T06:23:29.934176+00:00,CASH_DEPOSIT,1711.45,USD,CASH_DEPOSIT transaction,BRANCH,US,2026-01-19T06:50:29.934176+00:00
TXN00000147,ACCT028593,MEM001647,2026-02-13T11:05:21.934186+00:00,CASH_DEPOSIT,19009.48,USD,CASH_DEPOSIT transaction,MOBILE,US,2026-02-13T11:49:21.934186+00:00
TXN00000148,ACCT010630,MEM013045,2026-02-03T16:52:50.934194+00:00,DEBIT,22585.7,USD,DEBIT transaction,ONLINE,US,2026-02-03T17:14:50.934194+00:00
TXN00000149,ACCT017406,MEM006752,2026-01-31T01:03:44.934203+00:00,CREDIT,10767.74,USD,CREDIT transaction,BRANCH,US,2026-01-31T01:14:44.934203+00:00
TXN00000150,ACCT020307,MEM011193,2026-02-14T09:46:44.934211+00:00,WIRE,15237.69,USD,WIRE transaction,BRANCH,CA,2026-02-14T10:44:44.934211+00:00
TXN00000151,ACCT020903,MEM004162,2026-01-20T22:21:23.934220+00:00,WIRE,3578.8,USD,WIRE transaction,MOBILE,US,2026-01-20T23:03:23.934220+00:00
TXN00000152,ACCT029531,MEM004713,2026-02-17T18:50:06.934229+00:00,WIRE,22472.81,USD,WIRE transaction,BRANCH,US,2026-02-17T19:18:06.934229+00:00
