clearing_id,event_id,member_id,posted_amount,currency_code,posting_date,merchant_id,country_code
CLR00000133,AUTH00000133,MEM008515,1899.18,USD,2026-02-11,M02744,MX
CLR00000134,AUTH00000134,MEM005888,528.06,USD,2026-02-13,M01292,US
CLR00000135,AUTH00000135,MEM010026,2320.4,USD,2026-02-14,M00031,US
CLR00000136,AUTH00000136,MEM002677,1311.23,USD,2026-02-13,M00748,US
CLR00000137,AUTH00000137,MEM010822,1991.49,USD,2026-02-10,M00618,CA
CLR00000138,AUTH00000138,MEM003669,2294.14,USD,2026-02-11,M02835,US
CLR00000139,AUTH00000139,MEM004324,2241.5,USD,2026-02-13,M01403,MX
CLR00000140,AUTH00000140,MEM002233,1457.26,USD,2026-02-14,M02780,US
CLR00000141,AUTH00000141,MEM003940,2984.56,USD,2026-02-15,M01580,US
CLR00000142,AUTH00000142,MEM005675,3516.22,USD,2026-02-17,M01928,MX
CLR00000143,AUTH00000143,MEM009096,2535.4,USD,2026-02-10,M02372,MX
CLR00000144,AUTH00000144,MEM009251,3207.37,USD,2026-02-15,M01686,US
CLR00000145,AUTH00000145,MEM013696,965.83,USD,2026-02-16,M02377,US
CLR00000146,AUTH00000146,MEM005875,4864.57,USD,2026-02-10,M00087,CA
CLR00000147,AUTH00000147,MEM005283,4219.15,USD,2026-02-08,M02789,MX
CLR00000148,AUTH00000148,MEM008141,1083.38,USD,2026-02-18,M01825,US
CLR00000149,AUTH00000149,MEM001912,3532.05,USD,2026-02-09,M00782,US
CLR00000150,AUTH00000150,MEM008672,1985.66,USD,2026-02-12,M01443,MX
CLR00000151,AUTH00000151,MEM008935,334.6,USD,2026-02-08,M00301,CA
CLR00000152,AUTH00000152,MEM006993,1672.14,USD,2026-02-14,M00449,US
CLR00000153,AUTH00000153,MEM009231,648.95,USD,2026-02-14,M01742,MX
CLR00000154,AUTH00000154,MEM002793,3665.55,USD,2026-02-13,M01092,CA
CLR00000155,AUTH00000155,MEM005506,20.66,USD,2026-02-14,M02147,CA
CLR00000156,AUTH00000156,MEM007064,4566.31,USD,2026-02-17,M01198,US
CLR00000157,AUTH00000157,MEM012068,4999.18,USD,2026-02-14,M00513,MX
CLR00000158,AUTH00000158,MEM004991,4616.6,USD,2026-02-12,M00445,CA
CLR00000159,AUTH00000159,MEM002554,286.38,USD,2026-02-12,M01241,US
CLR00000160,AUTH00000160,MEM008324,381.8,USD,2026-02-13,M00086,CA
CLR00000161,AUTH00000161,MEM007184,1056.98,USD,2026-02-12,M02185,US
CLR00000162,AUTH00000162,MEM010550,2616.15,USD,2026-02-10,M02001,US
CLR00000163,AUTH00000163,MEM008914,1769.35,USD,2026-02-13,M02839,CA
CLR00000164,AUTH00000164,MEM005640,4113.67,USD,2026-02-14,M01176,MX
CLR00000165,AUTH00000165,MEM002451,2971.93,USD,2026-02-16,M02206,US
CLR00000166,AUTH00000166,MEM014261,800.97,USD,2026-02-10,M02842,MX
CLR00000167,AUTH00000167,MEM012617,904.55,USD,2026-02-14,M00748,US
CLR00000168,AUTH00000168,MEM008067,238.77,USD,2026-02-08,M01341,US
CLR00000169,AUTH00000169,MEM013733,2969.49,USD,2026-02-12,M02575,US
CLR00000170,AUTH00000170,MEM011045,1094.62,USD,2026-02-17,M01107,US
CLR00000171,AUTH00000171,MEM002783,3410.02,USD,2026-02-16,M02759,US
CLR00000172,AUTH00000172,MEM006394,2472.44,USD,2026-02-10,M00586,US
CLR00000173,AUTH00000173,MEM001915,4879.36,USD,2026-02-08,M00255,US
CLR00000174,AUTH00000174,MEM012499,2791.18,USD,2026-02-12,M01355,US
CLR00000175,AUTH00000175,MEM003423,49.76,USD,2026-02-13,M01756,US
CLR00000176,AUTH00000176,MEM013872,1425.63,USD,2026-02-11,M02231,CA
CLR00000177,AUTH00000177,MEM004060,2840.74,USD,2026-02-08,M00075,CA
CLR00000178,AUTH00000178,MEM009967,2353.27,USD,2026-02-16,M00708,US
CLR00000179,AUTH00000179,MEM006349,385.7,USD,2026-02-17,M00171,US
CLR00000180,AUTH00000180,MEM004321,1242.18,USD,2026-02-12,M01471,US
CLR00000181,AUTH00000181,MEM011298,1539.92,USD,2026-02-15,M01386,US
CLR00000182,AUTH00000182,MEM000968,4767.16,USD,2026-02-12,M00272,US
CLR00000183,AUTH00000183,MEM008562,4006.44,USD,2026-02-10,M01992,MX
CLR00000184,AUTH00000184,MEM014074,2984.36,USD,2026-02-11,M01482,US
CLR00000185,AUTH00000185,MEM010626,530.8,USD,2026-02-10,M02625,CA
CLR00000186,AUTH00000186,MEM004800,478.27,USD,2026-02-17,M00382,US
CLR00000187,AUTH00000187,MEM011319,305.32,USD,2026-02-14,M02815,US
CLR00000188,AUTH00000188,MEM012844,3846.13,USD,2026-02-12,M02838,US
CLR00000189,AUTH00000189,MEM006581,2815.9,USD,2026-02-14,M01498,CA
CLR00000190,AUTH00000190,MEM002135,839.08,USD,2026-02-09,M01095,MX
CLR00000191,AUTH00000191,MEM003340,2439.87,USD,2026-02-17,M02221,US
CLR00000192,AUTH00000192,MEM014211,3356.06,USD,2026-02-12,M00706,MX
CLR00000193,AUTH00000193,MEM004841,3938.54,USD,2026-02-11,M00355,CA
CLR00000194,AUTH00000194,MEM007120,3771.79,USD,2026-02-13,M01022,CA
CLR00000195,AUTH00000195,MEM006661,2330.4,USD,2026-02-14,M02617,US
CLR00000196,AUTH00000196,MEM012599,1127.96,USD,2026-02-13,M00431,US
CLR00000197,AUTH00000197,MEM013508,1178.52,USD,2026-02-17,M02961,US
CLR00000198,AUTH00000198,MEM002858,3223.17,USD,2026-02-15,M01806,US
CLR00000199,AUTH00000199,MEM010011,1680.59,USD,2026-02-10,M00300,CA
CLR00000200,AUTH00000200,MEM011906,4681.78,USD,2026-02-08,M02151,CA
CLR00000201,AUTH00000201,MEM012251,1127.86,USD,2026-02-15,M00828,US
CLR00000202,AUTH00000202,MEM004391,4490.26,USD,2026-02-12,M02436,US
CLR00000203,AUTH00000203,MEM010901,2601.53,USD,2026-02-17,M02971,MX
CLR00000204,AUTH00000204,MEM009036,4955.1,USD,2026-02-12,M02304,US
CLR00000205,AUTH00000205,MEM011752,635.49,USD,2026-02-15,M00388,CA
CLR00000206,AUTH00000206,MEM007148,2361.8,USD,2026-02-18,M01761,US
CLR00000207,AUTH00000207,MEM001484,1071.29,USD,2026-02-14,M02218,US
CLR00000208,AUTH00000208,MEM011045,918.71,USD,2026-02-09,M02083,US
CLR00000209,AUTH00000209,MEM014684,2490.77,USD,2026-02-10,M00380,US
CLR00000210,AUTH00000210,MEM014753,1913.17,USD,2026-02-12,M00037,MX
CLR00000211,AUTH00000211,MEM002797,4397.73,USD,2026-02-15,M01573,US
CLR00000212,AUTH00000212,MEM001932,4736.16,USD,2026-02-16,M02045,MX
CLR00000213,AUTH00000213,MEM002502,3486.43,USD,2026-02-14,M00343,US
CLR00000214,AUTH00000214,MEM008917,3008.78,USD,2026-02-11,M00792,US
CLR00000215,AUTH00000215,MEM002042,2479.72,USD,2026-02-10,M01456,US
CLR00000216,AUTH00000216,MEM013909,2925.25,USD,2026-02-17,M01643,US
CLR00000217,AUTH00000217,MEM004454,126.48,USD,2026-02-12,M01475,US
CLR00000218,AUTH00000218,MEM006052,4927.32,USD,2026-02-17,M00337,US
CLR00000219,AUTH00000219,MEM006971,4301.28,USD,2026-02-12,M00689,MX
CLR00000220,AUTH00000220,MEM012214,4.16,USD,2026-02-16,M02455,MX
CLR00000221,AUTH00000221,MEM000126,2829.77,USD,2026-02-13,M00774,US
CLR00000222,AUTH00000222,MEM010136,4422.33,USD,2026-02-13,M01998,MX
CLR00000223,AUTH00000223,MEM013935,3392.34,USD,2026-02-16,M01738,US
CLR00000224,AUTH00000224,MEM008931,784.53,USD,2026-02-09,M00687,CA
CLR00000225,AUTH00000225,MEM006120,1282.47,USD,2026-02-09,M01082,US
CLR00000226,AUTH00000226,MEM002902,4367.35,USD,2026-02-09,M01968,CA
CLR00000227,AUTH00000227,MEM005957,558.89,USD,2026-02-15,M01745,US
CLR00000228,AUTH00000228,MEM010548,1910.79,USD,2026-02-08,M01555,CA
CLR00000229,AUTH00000229,MEM006298,2425.66,USD,2026-02-10,M02720,MX
CLR00000230,AUTH00000230,MEM005645,799.19,USD,2026-02-14,M00574,US
CLR00000231,AUTH00000231,MEM009025,498.47,USD,2026-02-12,M02542,US
CLR00000232,AUTH00000232,MEM010640,4440.11,USD,2026-02-11,M00231,US
CLR00000233,AUTH00000233,MEM010996,3183.51,USD,2026-02-10,M00350,CA
CLR00000234,AUTH00000234,MEM001675,1632.89,USD,2026-02-17,M00074,CA
CLR00000235,AUTH00000235,MEM009035,4034.76,USD,2026-02-13,M02942,US
CLR00000236,AUTH00000236,MEM008610,288.2,USD,2026-02-14,M02186,MX
CLR00000237,AUTH00000237,MEM005237,76.67,USD,2026-02-10,M02655,CA
CLR00000238,AUTH00000238,MEM011520,1391.97,USD,2026-02-14,M00426,MX
CLR00000239,AUTH00000239,MEM013106,4082.26,USD,2026-02-09,M00821,CA
CLR00000240,AUTH00000240,MEM001037,4326.7,USD,2026-02-10,M00642,US
CLR00000241,AUTH00000241,MEM001564,3406.8,USD,2026-02-18,M02366,US
CLR00000242,AUTH00000242,MEM014529,3443.52,USD,2026-02-13,M00580,US
CLR00000243,AUTH00000243,MEM001342,3486.74,USD,2026-02-08,M01298,US
CLR00000244,AUTH00000244,MEM011041,2501.89,USD,2026-02-13,M00982,US
CLR00000245,AUTH00000245,MEM004403,271.82,USD,2026-02-14,M01483,US
CLR00000246,AUTH00000246,MEM008429,3902.14,USD,2026-02-11,M00611,US
CLR00000247,AUTH00000247,MEM010847,4255.61,USD,2026-02-15,M01534,MX
CLR00000248,AUTH00000248,MEM013283,3863.1,USD,2026-02-14,M02914,US
CLR00000249,AUTH00000249,MEM007458,645.01,USD,2026-02-12,M00413,US
CLR00000250,AUTH00000250,MEM004030,4528.42,USD,2026-02-17,M00746,US
CLR00000251,AUTH00000251,MEM014097,4455.57,USD,2026-02-08,M02056,CA
CLR00000252,AUTH00000252,MEM010884,2411.07,USD,2026-02-12,M00327,US
CLR00000253,AUTH00000253,MEM007526,840.85,USD,2026-02-13,M02675,MX
CLR00000254,AUTH00000254,MEM011831,3168.96,USD,2026-02-10,M02617,CA
CLR00000255,AUTH00000255,MEM002636,4709.44,USD,2026-02-11,M02091,CA
CLR00000256,AUTH00000256,MEM000337,1327.97,USD,2026-02-17,M02733,US
CLR00000257,AUTH00000257,MEM005891,568.59,USD,2026-02-15,M01008,US
CLR00000258,AUTH00000258,MEM002666,3885.78,USD,2026-02-15,M00955,US
CLR00000259,AUTH00000259,MEM012601,1906.42,USD,2026-02-14,M01368,US
CLR00000260,AUTH00000260,MEM005266,4013.99,USD,2026-02-10,M01329,MX
CLR00000261,AUTH00000261,MEM011506,322.22,USD,2026-02-16,M01619,CA
CLR00000262,AUTH00000262,MEM005859,1177.41,USD,2026-02-14,M00424,US
CLR00000263,AUTH00000263,MEM009394,4416.56,USD,2026-02-15,M00206,CA
CLR00000264,AUTH00000264,MEM006323,1660.51,USD,2026-02-10,M01079,MX
CLR00000265,AUTH00000265,MEM008898,4024.2,USD,2026-02-09,M01702,MX
CLR00000266,AUTH00000266,MEM008534,2455.82,USD,2026-02-17,M02818,MX
CLR00000267,AUTH00000267,MEM004233,3589.19,USD,2026-02-09,M02295,CA
CLR00000268,AUTH00000268,MEM011402,3954.49,USD,2026-02-16,M00081,US
CLR00000269,AUTH00000269,MEM000550,2065.78,USD,2026-02-14,M02123,MX
CLR00000270,AUTH00000270,MEM010679,713.97,USD,2026-02-17,M00285,MX
CLR00000271,AUTH00000271,MEM014716,2698.01,USD,2026-02-15,M01882,US
CLR00000272,AUTH00000272,MEM008743,4355.95,USD,2026-02-11,M01265,US
CLR00000273,AUTH00000273,MEM008364,359.63,USD,2026-02-09,M01514,US
CLR00000274,AUTH00000274,MEM013339,4193.85,USD,2026-02-15,M00560,US
CLR00000275,AUTH00000275,MEM010476,1413.98,USD,2026-02-14,M00441,MX
CLR00000276,AUTH00000276,MEM004468,2497.0,USD,2026-02-12,M00970,US
CLR00000277,AUTH00000277,MEM004836,3091.52,USD,2026-02-16,M00954,CA
CLR00000278,AUTH00000278,MEM005414,3772.62,USD,2026-02-13,M02378,US
CLR00000279,AUTH00000279,MEM010871,1931.58,USD,2026-02-13,M01972,US
CLR00000280,AUTH00000280,MEM004249,3593.39,USD,2026-02-17,M00393,MX
CLR00000281,AUTH00000281,MEM014865,205.11,USD,2026-02-10,M01190,US
CLR00000282,AUTH00000282,MEM001215,3687.59,USD,2026-02-14,M02614,US
CLR00000283,AUTH00000283,MEM013402,1718.45,USD,2026-02-08,M00894,US
CLR00000284,AUTH00000284,MEM011189,4022.21,USD,2026-02-11,M00929,US
CLR00000285,AUTH00000285,MEM007367,2227.72,USD,2026-02-14,M00994,CA
CLR00000286,AUTH00000286,MEM008796,2450.96,USD,2026-02-09,M00506,US
CLR00000287,AUTH00000287,MEM005680,4263.11,USD,2026-02-10,M00597,CA
CLR00000288,AUTH00000288,MEM001392,2526.13,USD,2026-02-16,M00975,US
CLR00000289,AUTH00000289,MEM002386,1947.05,USD,2026-02-09,M00452,US
CLR00000290,AUTH00000290,MEM013981,2782.34,USD,2026-02-13,M01556,US
CLR00000291,AUTH00000291,MEM004516,4822.31,USD,2026-02-16,M00169,US
CLR00000292,AUTH00000292,MEM002797,939.93,USD,2026-02-16,M00431,MX
CLR00000293,AUTH00000293,MEM004570,26.59,USD,2026-02-12,M02170,CA
CLR00000294,AUTH00000294,MEM010501,4393.33,USD,2026-02-11,M00647,CA
CLR00000295,AUTH00000295,MEM007190,1868.55,USD,2026-02-12,M01210,US
CLR00000296,AUTH00000296,MEM004101,3294.36,USD,2026-02-18,M01999,US
CLR00000297,AUTH00000297,MEM006891,1369.06,USD,2026-02-10,M01015,US
CLR00000298,AUTH00000298,MEM011893,1482.86,USD,2026-02-08,M00546,CA
CLR00000299,AUTH00000299,MEM000849,2953.46,USD,2026-02-15,M01276,US
CLR00000300,AUTH00000300,MEM001348,2773.68,USD,2026-02-11,M02790,US
CLR00000301,AUTH00000301,MEM005469,982.78,USD,2026-02-17,M01463,US
CLR00000302,AUTH00000302,MEM002389,4057.39,USD,2026-02-14,M01044,US
CLR00000303,AUTH00000303,MEM003272,2339.92,USD,2026-02-17,M02473,MX
CLR00000304,AUTH00000304,MEM005888,2274.37,USD,2026-02-17,M02647,US
CLR00000305,AUTH00000305,MEM014699,956.17,USD,2026-02-14,M02282,US
CLR00000306,AUTH00000306,MEM000613,1645.94,USD,2026-02-08,M02722,US
CLR00000307,AUTH00000307,MEM004734,1567.11,USD,2026-02-17,M01493,MX
CLR00000308,AUTH00000308,MEM012907,3893.22,USD,2026-02-11,M01177,US
CLR00000309,AUTH00000309,MEM010803,2656.5,USD,2026-02-08,M00171,US
CLR00000310,AUTH00000310,MEM002746,3449.24,USD,2026-02-16,M01981,US
CLR00000311,AUTH00000311,MEM010253,3893.34,USD,2026-02-13,M01254,MX
CLR00000312,AUTH00000312,MEM011287,417.85,USD,2026-02-15,M02611,US
CLR00000313,AUTH00000313,MEM003178,4655.28,USD,2026-02-09,M01614,CA
CLR00000314,AUTH00000314,MEM000348,2129.18,USD,2026-02-10,M02046,US
CLR00000315,AUTH00000315,MEM010531,1464.89,USD,2026-02-08,M02683,US
CLR00000316,AUTH00000316,MEM013028,1604.69,USD,2026-02-09,M02552,CA
CLR00000317,AUTH00000317,MEM007574,177.67,USD,2026-02-09,M02494,CA
CLR00000318,AUTH00000318,MEM002309,607.4,USD,2026-02-13,M01280,CA
CLR00000319,AUTH00000319,MEM004052,3032.22,USD,2026-02-09,M00115,US
CLR00000320,AUTH00000320,MEM010123,2994.95,USD,2026-02-10,M00948,US
CLR00000321,AUTH00000321,MEM004937,2009.76,USD,2026-02-17,M02134,MX
CLR00000322,AUTH00000322,MEM000532,2869.9,USD,2026-02-15,M00300,MX
CLR00000323,AUTH00000323,MEM002727,4497.08,USD,2026-02-10,M01732,US
CLR00000324,AUTH00000324,MEM002721,3684.8,USD,2026-02-15,M02917,MX
CLR00000325,AUTH00000325,MEM012586,2998.98,USD,2026-02-14,M02048,US
CLR00000326,AUTH00000326,MEM002604,1108.24,USD,2026-02-10,M01645,US
CLR00000327,AUTH00000327,MEM014858,1414.89,USD,2026-02-18,M01726,US
CLR00000328,AUTH00000328,MEM008486,3415.66,USD,2026-02-12,M00425,US
CLR00000329,AUTH00000329,MEM006619,1539.1,USD,2026-02-15,M00576,MX
